ROWNUM;Name;Photo;StationCapacity;BikeParkingSlotsAmount;Longitude_WGS84;Latitude_WGS84;AdmArea;District;Location;ClarificationOfLocation;DepartamentalAffiliation;OperOrgName;OperOrgWebsite;GLOBALID;
1;"Пункт проката велосипедов № 621";"621";"8";"8";"37.6282";"55.7378";"Центральный административный округ";"район Замоскворечье";"Пятницкая улица, дом 41";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809340";
2;"Пункт проката велосипедов № 620";"620";"12";"12";"37.6361";"55.7577";"Центральный административный округ";"Басманный район";"улица Маросейка, дом 11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809339";
3;"Пункт проката велосипедов № 79";"79";"15";"15";"37.5284";"55.7031";"Западный административный округ";"район Раменки";"улица Академика Хохлова, дом 1Н, корпус Г";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809338";
4;"Пункт проката велосипедов № 18";"18";"12";"12";"37.6225";"55.7671";"Центральный административный округ";"Тверской район";"Цветной бульвар, дом 31";"Трубная площадь, у выхода из метро";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809337";
5;"Пункт проката велосипедов № 713";"713";"12";"12";"37.5561";"55.6949";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 60/2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809336";
6;"Пункт проката велосипедов № 484";"484";"12";"12";"37.5142";"55.7052";"Западный административный округ";"район Раменки";"Ломоносовский проспект, дом 29, корпус 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809335";
7;"Пункт проката велосипедов № 655";"655";"12";"12";"37.541";"55.6423";"Юго-Западный административный округ";"район Коньково";"улица Введенского, дом 13А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809334";
8;"Пункт проката велосипедов № 654";"654";"12";"12";"37.5266";"55.6419";"Юго-Западный административный округ";"район Коньково";"Профсоюзная улица, дом 91";"Выход станции метро «Беляево»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809333";
9;"Пункт проката велосипедов № 653";"653";"12";"12";"37.5425";"55.6376";"Юго-Западный административный округ";"район Коньково";"улица Миклухо-Маклая, дом 44";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809332";
10;"Пункт проката велосипедов № 651";"651";"12";"12";"37.5944";"55.6367";"Южный административный округ";"район Чертаново Северное";"Сумской проезд, дом 4, корпус 401";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809331";
11;"Пункт проката велосипедов № 650";"650";"12";"12";"37.6047";"55.6398";"Южный административный округ";"район Чертаново Северное";"Чертановская улица, дом 7, строение 2";"Выход станции метро «Чертановская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809330";
12;"Пункт проката велосипедов № 615";"615";"12";"12";"37.572";"55.6883";"Юго-Западный административный округ";"Академический район";"улица Дмитрия Ульянова, дом 20, корпус 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809329";
13;"Пункт проката велосипедов № 614";"614";"12";"12";"37.6549";"55.7506";"Центральный административный округ";"Басманный район";"улица Земляной Вал, дом 50А/8, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809328";
14;"Пункт проката велосипедов № 613";"613";"12";"12";"37.6384";"55.7527";"Центральный административный округ";"Таганский район";"улица Солянка, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809327";
15;"Пункт проката велосипедов № 612";"612";"12";"12";"37.5877";"55.712";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 33";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809326";
16;"Пункт проката велосипедов № 608";"608";"12";"12";"37.6054";"55.724";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 9";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809325";
17;"Пункт проката велосипедов № 455";"455";"12";"12";"37.5767";"55.7402";"Центральный административный округ";"район Хамовники";"улица Плющиха, дом 39";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809324";
18;"Пункт проката велосипедов № 452";"452";"12";"12";"37.5727";"55.7403";"Центральный административный округ";"район Хамовники";"7-й Ростовский переулок, дом 11";"Выход с моста для пешеходов";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809323";
19;"Пункт проката велосипедов № 392";"392";"12";"12";"37.5822";"55.7702";"Центральный административный округ";"Пресненский район";"Большая Грузинская улица, дом 39";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809322";
20;"Пункт проката велосипедов № 371";"371";"12";"12";"37.5867";"55.7775";"Центральный административный округ";"Тверской район";"Лесная улица, дом 5";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809321";
21;"Пункт проката велосипедов № 267";"267";"12";"12";"37.6125";"55.7307";"Центральный административный округ";"район Якиманка";"улица Большая Якиманка, дом 18";"улица Большая Якиманка, станция метро Октябрьская";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809320";
22;"Пункт проката велосипедов № 212";"212";"12";"12";"37.6084";"55.7445";"Центральный административный округ";"район Хамовники";"улица Волхонка, дом 15, строение 3";"Пречистенская набережная, у Патриаршего моста";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809319";
23;"Пункт проката велосипедов № 197";"197";"12";"12";"37.6388";"55.7481";"Центральный административный округ";"Таганский район";"Москворецкая набережная, дом 2А, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809318";
24;"Пункт проката велосипедов № 194";"194";"12";"12";"37.6327";"55.7496";"Центральный административный округ";"Таганский район";"Москворецкая набережная, дом 9, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809317";
25;"Пункт проката велосипедов № 130";"130";"12";"12";"37.5237";"55.6993";"Западный административный округ";"район Раменки";"Ломоносовский проспект, дом 27";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809316";
26;"Пункт проката велосипедов № 80";"80";"12";"12";"37.5355";"55.7062";"Западный административный округ";"район Раменки";"территория Ленинские Горы, дом 1";"Университетский проспект, напротив главного здания МГУ";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809315";
27;"Пункт проката велосипедов № 78";"78";"12";"12";"37.5226";"55.7017";"Западный административный округ";"район Раменки";"Ломоносовский проспект, дом 27, корпус 4";"Ломоносовский проспект (дублер), пересечение с улицей Менделеевская";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809314";
28;"Пункт проката велосипедов № 77";"77";"12";"12";"37.5284";"55.6984";"Западный административный округ";"район Раменки";"Ломоносовский проспект, дом 27";"Ломоносовский проспект (дублер), пересечение с улицей Лебедева";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809313";
29;"Пункт проката велосипедов № 73";"73";"12";"12";"37.5552";"55.7064";"Западный административный округ";"район Раменки";"улица Косыгина, дом 18, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809312";
30;"Пункт проката велосипедов № 961";"961";"12";"12";"37.6158";"55.7598";"Центральный административный округ";"Тверской район";"улица Большая Дмитровка, дом 5/6, строение 5";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757671";
31;"Пункт проката велосипедов № 960";"960";"12";"12";"37.6165";"55.7591";"Центральный административный округ";"Тверской район";"улица Большая Дмитровка, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757670";
32;"Пункт проката велосипедов № 714";"714";"12";"12";"37.5501";"55.6913";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 66";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757669";
33;"Пункт проката велосипедов № 712";"712";"12";"12";"37.5608";"55.6976";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 54";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757668";
34;"Пункт проката велосипедов № 710";"710";"12";"12";"37.5508";"55.6903";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 34/1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757667";
35;"Пункт проката велосипедов № 687";"687";"15";"15";"37.5508";"55.6903";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 69";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757666";
36;"Пункт проката велосипедов № 606";"606";"15";"15";"37.5466";"55.6882";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 73/8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757665";
37;"Пункт проката велосипедов № 605";"605";"15";"15";"37.562";"55.6786";"Юго-Западный административный округ";"Академический район";"Нахимовский проспект, дом 46";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757664";
38;"Пункт проката велосипедов № 604";"604";"15";"15";"37.5624";"55.6915";"Юго-Западный административный округ";"Академический район";"улица Вавилова, дом 55/7";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757663";
39;"Пункт проката велосипедов № 603";"603";"15";"15";"37.5352";"55.6931";"Юго-Западный административный округ";"Гагаринский район";"площадь Джавахарлала Неру, дом 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757662";
40;"Пункт проката велосипедов № 602";"602";"12";"12";"37.5648";"55.7067";"Юго-Западный административный округ";"Гагаринский район";"улица Косыгина, дом 8, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757661";
41;"Пункт проката велосипедов № 601";"601";"12";"12";"37.5773";"55.7083";"Юго-Западный административный округ";"Гагаринский район";"улица Косыгина, дом 2, строение 19";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757660";
42;"Пункт проката велосипедов № 472";"472";"12";"12";"37.5612";"55.7637";"Центральный административный округ";"Пресненский район";"улица 1905 Года, дом 4, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757659";
43;"Пункт проката велосипедов № 470";"470";"12";"12";"37.5746";"55.7517";"Центральный административный округ";"район Арбат";"Смоленская набережная, дом 12";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757658";
44;"Пункт проката велосипедов № 466";"466";"12";"12";"37.5855";"55.7381";"Центральный административный округ";"район Хамовники";"Зубовская площадь, дом 3, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757657";
45;"Пункт проката велосипедов № 438";"438";"12";"12";"37.5517";"55.7516";"Центральный административный округ";"Пресненский район";"Краснопресненская набережная, дом 16, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757656";
46;"Пункт проката велосипедов № 437";"437";"12";"12";"37.5461";"55.7488";"Центральный административный округ";"Пресненский район";"Краснопресненская набережная, дом 14, строение 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757655";
47;"Пункт проката велосипедов № 436";"436";"12";"12";"37.5594";"55.7541";"Центральный административный округ";"Пресненский район";"Краснопресненская набережная, дом 12А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757654";
48;"Пункт проката велосипедов № 435";"435";"12";"12";"37.5513";"55.756";"Центральный административный округ";"Пресненский район";"Мантулинская улица, дом 5, строение 21";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757653";
49;"Пункт проката велосипедов № 434";"434";"12";"12";"37.559";"55.7568";"Центральный административный округ";"Пресненский район";"Мантулинская улица, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757652";
50;"Пункт проката велосипедов № 432";"432";"12";"12";"37.5635";"55.7624";"Центральный административный округ";"Пресненский район";"улица Красная Пресня, дом 31";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757651";
51;"Пункт проката велосипедов № 402";"402";"12";"12";"37.5766";"55.7609";"Центральный административный округ";"Пресненский район";"Большая Грузинская улица, дом 1, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757650";
52;"Пункт проката велосипедов № 390";"390";"12";"12";"37.5879";"55.7677";"Центральный административный округ";"Пресненский район";"улица Гашека, дом 2, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757649";
53;"Пункт проката велосипедов № 382";"382";"12";"12";"37.5859";"55.7731";"Центральный административный округ";"Пресненский район";"2-я Брестская улица, дом 31";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757648";
54;"Пункт проката велосипедов № 370";"370";"12";"12";"37.59";"55.7751";"Центральный административный округ";"Тверской район";"2-я Тверская-Ямская улица, дом 54";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757647";
55;"Пункт проката велосипедов № 369";"369";"12";"12";"37.5997";"55.7742";"Центральный административный округ";"Тверской район";"улица Фадеева, дом 4";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757646";
56;"Пункт проката велосипедов № 366";"366";"12";"12";"37.5963";"55.7725";"Центральный административный округ";"Тверской район";"3-я Тверская-Ямская улица, дом 20, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757645";
57;"Пункт проката велосипедов № 351";"351";"12";"12";"37.5682";"55.7368";"Центральный административный округ";"район Хамовники";"Саввинская набережная, дом 9";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757644";
58;"Пункт проката велосипедов № 355";"355";"12";"12";"37.6093";"55.7459";"Центральный административный округ";"район Хамовники";"Пречистенская набережная, дом 45/1, строение 2А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757643";
59;"Пункт проката велосипедов № 350";"350";"12";"12";"37.5705";"55.7393";"Центральный административный округ";"район Хамовники";"Саввинская набережная, дом 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757642";
60;"Пункт проката велосипедов № 349";"349";"12";"12";"37.5757";"55.746";"Центральный административный округ";"район Арбат";"Смоленская набережная, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757641";
61;"Пункт проката велосипедов № 330";"330";"12";"12";"37.5752";"55.7611";"Центральный административный округ";"Пресненский район";"улица Красная Пресня, дом 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757640";
62;"Пункт проката велосипедов № 305";"305";"12";"12";"37.6554";"55.7493";"Центральный административный округ";"Таганский район";"улица Земляной Вал, дом 52/16, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757639";
63;"Пункт проката велосипедов № 298";"298";"12";"12";"37.6461";"55.7408";"Центральный административный округ";"Таганский район";"Котельническая набережная, дом 33, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757638";
64;"Пункт проката велосипедов № 283";"283";"12";"12";"37.6388";"55.7318";"Центральный административный округ";"район Замоскворечье";"улица Бахрушина, дом 31/12, строение 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757637";
65;"Пункт проката велосипедов № 280";"280";"12";"12";"37.6296";"55.7296";"Центральный административный округ";"район Замоскворечье";"Валовая улица, дом 20";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757636";
66;"Пункт проката велосипедов № 265";"265";"12";"12";"37.6203";"55.7321";"Центральный административный округ";"район Якиманка";"улица Большая Полянка, дом 50/1, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757635";
67;"Пункт проката велосипедов № 252";"252";"12";"12";"37.6106";"55.7299";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 3, строение 16";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757634";
68;"Пункт проката велосипедов № 246";"246";"12";"12";"37.5919";"55.7475";"Центральный административный округ";"район Арбат";"переулок Сивцев Вражек, дом 26, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757633";
69;"Пункт проката велосипедов № 239";"239";"12";"12";"37.583";"55.7491";"Центральный административный округ";"район Арбат";"Смоленская площадь, дом 6";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757632";
70;"Пункт проката велосипедов № 231";"231";"12";"12";"37.5851";"55.7421";"Центральный административный округ";"район Хамовники";"Смоленский бульвар, дом 22/14";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757631";
71;"Пункт проката велосипедов № 180";"180";"12";"12";"37.5964";"55.7664";"Центральный административный округ";"Пресненский район";"Благовещенский переулок, дом 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757630";
72;"Пункт проката велосипедов № 161";"161";"12";"12";"37.5893";"55.7522";"Центральный административный округ";"район Арбат";"улица Новый Арбат, дом 19";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757629";
73;"Пункт проката велосипедов № 159";"159";"12";"12";"37.5964";"55.7525";"Центральный административный округ";"район Арбат";"улица Новый Арбат, дом 11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757628";
74;"Пункт проката велосипедов № 157";"157";"12";"12";"37.5998";"55.7526";"Центральный административный округ";"Пресненский район";"Никитский бульвар, дом 8А/3, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757627";
75;"Пункт проката велосипедов № 156";"156";"12";"12";"37.5998";"55.7526";"Центральный административный округ";"район Арбат";"улица Новый Арбат, дом 1, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757626";
