ROWNUM;Name;Photo;StationCapacity;BikeParkingSlotsAmount;Longitude_WGS84;Latitude_WGS84;AdmArea;District;Location;ClarificationOfLocation;DepartamentalAffiliation;OperOrgName;OperOrgWebsite;GLOBALID;
76;"Пункт проката велосипедов № 146";"146";"12";"12";"37.6431";"55.7702";"Центральный административный округ";"Красносельский район";"Садовая-Спасская улица, дом 26";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757625";
77;"Пункт проката велосипедов № 144";"144";"12";"12";"37.6328";"55.7721";"Центральный административный округ";"Красносельский район";"улица Сретенка, дом 36";"Выход станции метро «Сухаревская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757624";
78;"Пункт проката велосипедов № 143";"143";"12";"12";"37.6141";"55.7731";"Центральный административный округ";"Тверской район";"Садовая-Самотёчная улица, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757623";
79;"Пункт проката велосипедов № 140";"140";"12";"12";"37.5991";"55.7706";"Центральный административный округ";"Тверской район";"Садовая-Триумфальная улица, дом 4/10";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757622";
80;"Пункт проката велосипедов № 139";"139";"12";"12";"37.5517";"55.7516";"Центральный административный округ";"Пресненский район";"Краснопресненская набережная, дом 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757621";
81;"Пункт проката велосипедов № 138";"138";"12";"12";"37.5941";"55.7678";"Центральный административный округ";"Пресненский район";"Большая Садовая улица, дом 14, строение 1";"рядом со входом в Сад Аквариум";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757620";
82;"Пункт проката велосипедов № 137";"137";"12";"12";"37.5931";"55.7635";"Центральный административный округ";"Пресненский район";"Большой Патриарший переулок, дом 7, строение 1";"Большой Патриарший переулок на пересечении с Малым Патриаршим переулком";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757619";
83;"Пункт проката велосипедов № 133";"133";"12";"12";"37.5846";"55.7572";"Центральный административный округ";"район Арбат";"Новинский бульвар, дом 28/35, строение 1А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757618";
84;"Пункт проката велосипедов № 121";"121";"12";"12";"37.6555";"55.7522";"Центральный административный округ";"Таганский район";"улица Земляной Вал, дом 48Б";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757617";
85;"Пункт проката велосипедов № 115";"115";"12";"12";"37.6573";"55.7593";"Центральный административный округ";"Басманный район";"улица Земляной Вал, дом 24/30, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757616";
86;"Пункт проката велосипедов № 111";"111";"12";"12";"37.6569";"55.7607";"Центральный административный округ";"Басманный район";"улица Земляной Вал, дом 14/16, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757615";
87;"Пункт проката велосипедов № 110";"110";"12";"12";"37.6562";"55.7633";"Центральный административный округ";"Басманный район";"улица Земляной Вал, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757614";
88;"Пункт проката велосипедов № 105";"105";"12";"12";"37.6552";"55.765";"Центральный административный округ";"Басманный район";"Садовая-Черногрязская улица, дом 16/18, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757613";
89;"Пункт проката велосипедов № 104";"104";"12";"12";"37.6521";"55.767";"Центральный административный округ";"Басманный район";"Большой Харитоньевский переулок, дом 25/10";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757612";
90;"Пункт проката велосипедов № 103";"103";"12";"12";"37.5704";"55.7193";"Центральный административный округ";"район Хамовники";"улица Хамовнический Вал, дом 24";"рядом с остановкой улица Хамовнический Вал";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757611";
91;"Пункт проката велосипедов № 102";"102";"12";"12";"37.5596";"55.7269";"Центральный административный округ";"район Хамовники";"Новодевичий проезд, дом 1";"рядом с остановкой улица 10-летия Октября";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757610";
92;"Пункт проката велосипедов № 101";"101";"12";"12";"37.5652";"55.7238";"Центральный административный округ";"район Хамовники";"Усачёва улица, дом 29, корпус 3";"Выход станции метро «Спортивная»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757609";
93;"Пункт проката велосипедов № 100";"100";"12";"12";"37.5692";"55.7311";"Центральный административный округ";"район Хамовники";"Большая Пироговская улица, дом 2, строение 4";"рядом с МГМУ им. Семашко";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757608";
94;"Пункт проката велосипедов № 99";"99";"12";"12";"37.5807";"55.7264";"Центральный административный округ";"район Хамовники";"Комсомольский проспект, дом 28";"Выход станции метро «Фрунзенская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757607";
95;"Пункт проката велосипедов № 98";"98";"12";"12";"37.577";"55.7307";"Центральный административный округ";"район Хамовники";"Усачёва улица, дом 2, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757606";
96;"Пункт проката велосипедов № 97";"97";"12";"12";"37.5754";"55.7338";"Центральный административный округ";"район Хамовники";"Большая Пироговская улица, дом 15/18, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757605";
97;"Пункт проката велосипедов № 96";"96";"12";"12";"37.5813";"55.7364";"Центральный административный округ";"район Хамовники";"Большая Пироговская улица, дом 5";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757604";
98;"Пункт проката велосипедов № 93";"93";"12";"12";"37.6055";"55.7464";"Центральный административный округ";"район Хамовники";"улица Волхонка, дом 14, строение 6";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757603";
99;"Пункт проката велосипедов № 91";"91";"12";"12";"37.6108";"55.7452";"Центральный административный округ";"район Якиманка";"Берсеневская набережная, дом 2, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757602";
100;"Пункт проката велосипедов № 90";"90";"12";"12";"37.6154";"55.744";"Центральный административный округ";"район Якиманка";"улица Серафимовича, дом 2";"Напротив кинотеатра «Ударник»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757601";
101;"Пункт проката велосипедов № 88";"88";"12";"12";"37.6202";"55.7429";"Центральный административный округ";"район Якиманка";"Лаврушинский переулок, дом 4, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757600";
102;"Пункт проката велосипедов № 86";"86";"12";"12";"37.6256";"55.7408";"Центральный административный округ";"район Замоскворечье";"Климентовский переулок, дом 23, строение 1";"Выход станции метро «Третьяковская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757599";
103;"Пункт проката велосипедов № 82";"82";"12";"12";"37.5418";"55.7083";"Западный административный округ";"район Раменки";"улица Косыгина, дом 28";"Университетская площадь, смотровая площадка";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757598";
104;"Пункт проката велосипедов № 81";"81";"12";"12";"37.5996";"55.768";"Центральный административный округ";"Тверской район";"Тверская улица, дом 24, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757597";
105;"Пункт проката велосипедов № 76";"76";"18";"18";"37.5341";"55.6946";"Западный административный округ";"район Раменки";"Ломоносовский проспект, дом 66";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757596";
106;"Пункт проката велосипедов № 74";"74";"12";"12";"37.5456";"55.7008";"Западный административный округ";"район Раменки";"Университетский проспект, дом 13";"остановка Университетский проспект";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757595";
107;"Пункт проката велосипедов № 72";"72";"12";"12";"37.6364";"55.7669";"Центральный административный округ";"Красносельский район";"Сретенский бульвар, дом 11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757594";
108;"Пункт проката велосипедов № 71";"71";"12";"12";"37.6122";"55.7548";"Центральный административный округ";"Тверской район";"Моховая улица, дом 11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757593";
109;"Пункт проката велосипедов № 70";"70";"12";"12";"37.6415";"55.7672";"Центральный административный округ";"Красносельский район";"Мясницкая улица, дом 39, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757592";
110;"Пункт проката велосипедов № 67";"67";"8";"8";"37.6108";"55.7304";"Центральный административный округ";"район Якиманка";"улица Крымский Вал, дом 6";"Выход станции метро «Октябрьская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757591";
111;"Пункт проката велосипедов № 60";"60";"12";"12";"37.5617";"55.7218";"Центральный административный округ";"район Хамовники";"улица Хамовнический Вал, дом 36А";"Выход станции метро «Спортивная»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757590";
112;"Пункт проката велосипедов № 39";"39";"16";"16";"37.6425";"55.759";"Центральный административный округ";"Басманный район";"улица Покровка, дом 7";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757589";
113;"Пункт проката велосипедов № 94";"94";"10";"10";"37.5933";"55.7352";"Центральный административный округ";"район Хамовники";"Зубовский бульвар, дом 5, строение 3";"Выход станции метро «Парк Культуры»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757588";
114;"Пункт проката велосипедов № 84";"84";"12";"12";"37.639";"55.7531";"Центральный административный округ";"Таганский район";"улица Солянка, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757587";
115;"Пункт проката велосипедов № 64";"64";"12";"12";"37.5474";"55.727";"Центральный административный округ";"район Хамовники";"Лужнецкая набережная, дом 24, строение 33";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757586";
116;"Пункт проката велосипедов № 62";"62";"12";"12";"37.56";"55.7116";"Центральный административный округ";"район Хамовники";"Лужнецкая набережная, дом 24, строение 20";"Выход станции метро «Воробьёвы Горы»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757585";
117;"Пункт проката велосипедов № 61";"61";"12";"12";"37.5695";"55.7126";"Центральный административный округ";"район Хамовники";"Лужнецкая набережная, дом 2/4, строение 68";"На пересечении с Новолужнецким проездом";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757584";
118;"Пункт проката велосипедов № 59";"59";"10";"10";"37.578";"55.7155";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 54";"На пересечении с улицей Хамовнический Вал";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757583";
119;"Пункт проката велосипедов № 58";"58";"8";"8";"37.5835";"55.7192";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 44, строение 1";"На пересечении с 3-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757582";
120;"Пункт проката велосипедов № 57";"57";"12";"12";"37.5759";"55.722";"Центральный административный округ";"район Хамовники";"Комсомольский проспект, дом 37";"На пересечении с 3-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757581";
121;"Пункт проката велосипедов № 56";"56";"8";"8";"37.5864";"55.7217";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 36/2";"На пересечении со 2-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757580";
122;"Пункт проката велосипедов № 55";"55";"9";"9";"37.5791";"55.7242";"Центральный административный округ";"район Хамовники";"Комсомольский проспект, дом 31, строение 2";"На пересечении со 2-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757579";
123;"Пункт проката велосипедов № 54";"54";"12";"12";"37.5842";"55.7274";"Центральный административный округ";"район Хамовники";"Комсомольский проспект, дом 21, строение 1";"На пересечении с 1-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757578";
124;"Пункт проката велосипедов № 53";"53";"10";"10";"37.5899";"55.7257";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 22/2";"На пересечении с 1-й Фрунзенской улицей";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757577";
125;"Пункт проката велосипедов № 52";"52";"12";"12";"37.5969";"55.7336";"Центральный административный округ";"район Хамовники";"Фрунзенская набережная, дом 4";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757576";
126;"Пункт проката велосипедов № 50";"50";"12";"12";"37.6051";"55.7566";"Центральный административный округ";"Пресненский район";"Большая Никитская улица, дом 13";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757575";
127;"Пункт проката велосипедов № 41";"41";"8";"8";"37.6202";"55.7649";"Центральный административный округ";"Мещанский район";"Неглинная улица, дом 16/2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757574";
128;"Пункт проката велосипедов № 37";"37";"8";"8";"37.6316";"55.7666";"Центральный административный округ";"Мещанский район";"площадь Сретенские Ворота, дом 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757573";
129;"Пункт проката велосипедов № 36";"36";"8";"8";"37.6367";"55.7654";"Центральный административный округ";"Красносельский район";"Тургеневская площадь, дом 2";"Между выходами станции метро «Тургеневская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757572";
130;"Пункт проката велосипедов № 33";"33";"8";"8";"37.6351";"55.7539";"Центральный административный округ";"Басманный район";"Лубянский проезд, дом 27/1, строение 1";"Выход станции метро «Китай-Город»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757571";
131;"Пункт проката велосипедов № 32";"32";"12";"12";"37.623";"55.7622";"Центральный административный округ";"Мещанский район";"улица Кузнецкий Мост, дом 13/9, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757570";
132;"Пункт проката велосипедов № 29";"29";"12";"12";"37.612";"55.7594";"Центральный административный округ";"Тверской район";"Камергерский переулок, дом 9";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757569";
133;"Пункт проката велосипедов № 28";"28";"12";"12";"37.6172";"55.7634";"Центральный административный округ";"Тверской район";"улица Петровка, дом 11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757568";
134;"Пункт проката велосипедов № 26";"26";"12";"12";"37.6096";"55.7621";"Центральный административный округ";"Тверской район";"Тверская улица, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757567";
135;"Пункт проката велосипедов № 25";"25";"8";"8";"37.6474";"55.7533";"Центральный административный округ";"Басманный район";"Покровский бульвар, дом 18/15";"На пересечении с Подколокольным переулком";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757566";
136;"Пункт проката велосипедов № 24";"24";"8";"8";"37.6484";"55.7554";"Центральный административный округ";"Басманный район";"Покровский бульвар, дом 12, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757565";
137;"Пункт проката велосипедов № 23";"23";"8";"8";"37.6473";"55.7573";"Центральный административный округ";"Басманный район";"Покровский бульвар, дом 8, строение 1А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757564";
138;"Пункт проката велосипедов № 22";"22";"8";"8";"37.6455";"55.7603";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 12, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757563";
139;"Пункт проката велосипедов № 21";"21";"8";"8";"37.6417";"55.7631";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 8, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757562";
140;"Пункт проката велосипедов № 20";"20";"8";"8";"37.6391";"55.7647";"Центральный административный округ";"Басманный район";"Чистопрудный бульвар, дом 1А";"Выход станции метро «Чистые Пруды»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757561";
141;"Пункт проката велосипедов № 14";"14";"8";"8";"37.6131";"55.7681";"Центральный административный округ";"Тверской район";"Страстной бульвар, дом 1Б";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757560";
142;"Пункт проката велосипедов № 13";"13";"8";"8";"37.6095";"55.7667";"Центральный административный округ";"Тверской район";"Страстной бульвар, дом 8А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757559";
143;"Пункт проката велосипедов № 11";"11";"12";"12";"37.6051";"55.7646";"Центральный административный округ";"Тверской район";"Тверской бульвар, дом 28";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757558";
144;"Пункт проката велосипедов № 10";"10";"10";"10";"37.6022";"55.7616";"Центральный административный округ";"Пресненский район";"Тверской бульвар, дом 17, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757557";
145;"Пункт проката велосипедов № 9";"9";"10";"10";"37.5983";"55.7578";"Центральный административный округ";"Пресненский район";"Тверской бульвар, дом 2/1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757556";
146;"Пункт проката велосипедов № 8";"8";"8";"8";"37.5985";"55.7573";"Центральный административный округ";"Пресненский район";"Большая Никитская улица, дом 23/14/9";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757555";
147;"Пункт проката велосипедов № 7";"7";"8";"8";"37.6";"55.7554";"Центральный административный округ";"Пресненский район";"Никитский бульвар, дом 11/12, строение 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757554";
148;"Пункт проката велосипедов № 3";"3";"12";"12";"37.6006";"55.7509";"Центральный административный округ";"район Арбат";"Гоголевский бульвар, дом 33";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757553";
149;"Пункт проката велосипедов № 2";"2";"12";"12";"37.5996";"55.7469";"Центральный административный округ";"район Хамовники";"Гоголевский бульвар, дом 17, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757552";
150;"Пункт проката велосипедов № 1";"1";"12";"12";"37.6007";"55.7454";"Центральный административный округ";"район Хамовники";"Гоголевский бульвар, дом 1, строение 4";"Выход станции метро «Кропоткинская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2757551";
